session,quelle,thema,erstellt,selbsteinschaetzung-sprache,themenbezogenheit,logik-des-aufbaus,ausfuehrlichkeit-aussagekraft,sprachbeherrschung,komplexitaet,wortschatz-textverknuepfung,gebrauch-sprachlicher-strukturen,selbsteinschaetzung-bewertung
l8hb42vkvf2qs5c2q38qee4yk4vz34g6,Student,Museums as a form of entertainment or education?,2023-03-28 12:54:00.583802+00:00,4,5,5,4,4,5,4,3,3
7nny3k5b3gcxjzcvauwk10ebb1zrnhkj,Student,Influence Of Large Factory,2023-03-28 12:54:07.105752+00:00,3,3,4,2,3,4,1,6,0
zby0p8ese5gmn1tslotguvjz6sr6fwry,ChatGPT-3,Technology cannot solve all the world's problems,2023-03-28 12:54:08.270939+00:00,1,4,5,4,6,4,5,5,0
8276wlcpcdeplfxo6gwqscnzc4zr8zun,Student,The Truth About Cannabis,2023-03-28 12:54:12.592815+00:00,3,5,5,5,6,4,5,5,0
ccq6yh0sv33g0hhab3fqtcunap9lxrz1,ChatGPT-4,The Truth About Cannabis,2023-03-28 12:54:13.166280+00:00,2,4,4,3,5,4,5,5,1
ilfp64e1834fa3jfozvmtz4bmpezd3b1,ChatGPT-4,Everyone Should Go Camping,2023-03-28 12:54:15.122463+00:00,4,5,5,4,6,5,6,5,3
8y24o71xlukzq85g17n6ckhh09qf69pm,ChatGPT-4,The Non-Issue of Same Sex Marriage,2023-03-28 12:54:16.663785+00:00,3,5,5,3,6,5,5,5,0
fgvdmfileakyzco3iwp944837dhuwtbd,ChatGPT-4,Technology cannot solve all the world's problems,2023-03-28 12:54:18.501524+00:00,2,3,5,2,5,3,3,4,1
bnpk5arlgchs81ch0so6l8ult9uqyqiy,ChatGPT-4,Museums as a form of entertainment or education?,2023-03-28 12:54:18.534231+00:00,3,6,6,4,6,6,6,6,0
3ekw2nmnlpi8xlds6evadnvk99e4tznt,Student,Advertisements affects on consumer goods,2023-03-28 12:54:18.884181+00:00,5,4,5,4,5,4,4,5,3
7o3t5f9mlhabs633ahy199a6jskwrmf0,ChatGPT-3,The Non-Issue of Same Sex Marriage,2023-03-28 12:54:20.618402+00:00,1,3,3,3,5,5,5,4,1
fotpixguym6bxcv3wcjf4rjwcvbtrrb2,Student,Gender Equality at university admission,2023-03-28 12:54:23.311798+00:00,1,3,3,3,3,3,3,2,2
zprb1muapmszr1s8btczu55w5y4wlxpe,ChatGPT-4,Technology cannot solve all the world's problems,2023-03-28 12:54:24.483384+00:00,4,6,6,6,6,6,6,5,4
k93jcx7ncootup27k9cukufet8klqhe4,Student,Computer replace  man power in jobs,2023-03-28 12:54:28.028224+00:00,5,4,4,4,5,4,4,4,3
5kswaykptc8x72fo2st04imj7ubd88u5,Student,Air pollution,2023-03-28 12:54:29.950755+00:00,3,3,2,3,3,2,3,3,2
tv2gkmaekp405mvx55d3rsxj9fzocyn8,ChatGPT-3,Museums as a form of entertainment or education?,2023-03-28 12:54:30.188405+00:00,5,4,4,4,6,4,4,4,2
y1bzg8y45d9xkjk1stvizcclagbp9ah6,Student,Lessons with teachers versus others sources,2023-03-28 12:54:30.962909+00:00,2,2,2,2,3,3,4,4,1
30fw2qnkvcx4h00abgbolm59x1g1nvtc,Student,Using animals for the benefit of the human beings,2023-03-28 12:54:31.332712+00:00,2,3,2,2,2,2,2,3,3
uwrin05xaajicfy33jc255se0w5vq22d,ChatGPT-4,Living and studying overseas,2023-03-28 12:54:32.004123+00:00,2,4,3,2,6,4,5,5,3
7nny3k5b3gcxjzcvauwk10ebb1zrnhkj,Student,Society should ban all forms of the advertising,2023-03-28 12:54:33.616647+00:00,3,1,2,3,1,2,1,2,0
6y89af5q9a9exs9tcc2lk9tphhn6oeh3,ChatGPT-3,Email and text messaging threats written language,2023-03-28 12:54:40.596994+00:00,3,5,5,4,4,4,5,4,3
g0rntgh8sk4ehswu3iphviv8byk5bgad,Student,Technology cannot solve all the world's problems,2023-03-28 12:54:42.780641+00:00,4,5,5,4,6,6,6,6,3
koecf6ha05tlkkowh8eyc1hj11ptbfey,ChatGPT-3,Everyone Should Go Camping,2023-03-28 12:54:43.794309+00:00,3,5,4,4,6,5,5,5,2
kvhozafx51i5gz3bcc7h668sdiph7q02,Student,Why you should exercise,2023-03-28 12:54:45.152887+00:00,1,5,5,5,5,4,4,4,0
3abdtb3vc2w8k9u6k3bbajtd6szuifko,ChatGPT-3,Living and studying overseas,2023-03-28 12:54:48.322331+00:00,4,4,5,3,6,5,4,5,2
4uoh2nx86fnqgnkejetsvff15ade7r4p,ChatGPT-4,Financial Aid To Developing Countries,2023-03-28 12:54:49.481595+00:00,1,5,5,5,6,5,5,5,0
yifwrgjzvf47cgclce78a6s9vwttz03s,ChatGPT-3,Young people should go to university or not,2023-03-28 12:54:50.478310+00:00,2,2,3,2,4,2,3,3,0
kz75qd2mz8s5p9i73lyfdv7bvai36jd0,ChatGPT-3,Society should ban all forms of the advertising,2023-03-28 12:54:56.128035+00:00,3,3,3,3,3,3,3,3,0
gu2mqy8u00yps3emmb12kbau21v0mqy0,ChatGPT-4,Air pollution,2023-03-28 12:54:56.197373+00:00,5,3,4,3,5,4,5,4,3
2l8nhwu0bdi4vvlgs3e7h8l8s9w65n8q,ChatGPT-4,Air pollution,2023-03-28 12:54:56.508618+00:00,4,4,4,4,5,4,4,5,2
scntfq9o0qx5hp9jhu2qlxxwefu3ey79,ChatGPT-4,Should rich countries help poor countries?,2023-03-28 12:54:58.790477+00:00,1,5,5,4,6,3,5,5,1
fpclvya6ezg3r9y75so0eijx3g92fth7,ChatGPT-4,Email and text messaging threats written language,2023-03-28 12:54:59.037996+00:00,1,5,5,4,6,5,5,4,0
dc07m79j66n4bqxowx5uw2ogib8bb1zd,Student,Museums as a form of entertainment or education?,2023-03-28 12:55:02.528692+00:00,5,4,4,4,5,4,4,4,3
69tf3g7u3j0ifyx5861asy2361cjr8gf,ChatGPT-3,Air pollution,2023-03-28 12:55:03.301279+00:00,2,4,2,3,3,2,2,3,1
cn6ctjjzh8gzgi7fufcgkaxz066dudu3,ChatGPT-3,computer has negative effects to children,2023-03-28 12:55:08.475959+00:00,3,4,4,4,5,5,5,5,2
8j5mwnzgha1ifg9okov4p9mpwdxxvf6x,ChatGPT-3,Why you should exercise,2023-03-28 12:55:09.967863+00:00,3,5,5,5,6,6,6,6,3
o1kt32aukcf229hga3hdxmaqe1ezwhry,ChatGPT-4,Young people should go to university or not,2023-03-28 12:55:11.932693+00:00,2,5,5,5,6,4,5,5,1
2bbhl6g2uav5bt0jutfc8wuco738qag5,Student,Using animals for the benefit of the human beings,2023-03-28 12:55:13.726082+00:00,4,4,4,3,5,5,5,4,2
jfxrdb4vpizn9mjmtka32psmk1htgegt,ChatGPT-3,Young people should go to university or not,2023-03-28 12:55:13.893897+00:00,4,4,4,3,5,4,5,4,3
z829f0o2q6wb7in59s4xp8d6xpwhkzcg,ChatGPT-4,Lessons with teachers versus others sources,2023-03-28 12:55:16.934348+00:00,2,5,5,2,6,5,6,5,3
csp5ciwsydqgtz6uq9l3a9145gcmq3as,ChatGPT-4,Advertisements affects on consumer goods,2023-03-28 12:55:17.819219+00:00,2,3,4,3,6,5,5,4,2
tt7g5cc8q09pivcekvsfj83qnvphc0c3,ChatGPT-3,Influence Of Large Factory,2023-03-28 12:55:20.560551+00:00,2,5,5,5,6,5,5,5,4
as43e4efz9lqo3l3lncscyq1p9smbcxf,ChatGPT-4,Society should ban all forms of the advertising,2023-03-28 12:55:20.613038+00:00,4,5,5,5,6,5,6,6,4
lhvr4hzosu3w8zpxewi9lpavmvaon5a7,Student,Air pollution,2023-03-28 12:55:21.027290+00:00,3,3,4,4,3,2,3,3,3
l8hb42vkvf2qs5c2q38qee4yk4vz34g6,ChatGPT-4,Society should ban all forms of the advertising,2023-03-28 12:55:22.852984+00:00,4,5,5,5,6,5,6,6,3
wjtbk547gm3kbhm2syykrda91a9koceu,ChatGPT-3,Using animals for the benefit of the human beings,2023-03-28 12:55:25.684073+00:00,4,4,4,4,6,5,5,6,3
uk9ipqwkaqn2srsu522a9xudwrg1qgmb,Student,Email and text messaging threats written language,2023-03-28 12:55:25.722420+00:00,2,4,4,4,6,5,5,5,0
kxhdunah6ib3a2597w6f4ikbyukby99e,ChatGPT-4,Locker checks,2023-03-28 12:55:26.539990+00:00,3,5,5,3,6,6,6,6,3
bphdm8l9hmzokdslryogg8xki0b3jo0j,ChatGPT-3,Lessons with teachers versus others sources,2023-03-28 12:55:28.639293+00:00,2,5,6,5,6,5,5,5,3
yoo1jra1u9p6xm2ijx2uqx6b8i1bpz2d,ChatGPT-4,Computer replace  man power in jobs,2023-03-28 12:55:30.506690+00:00,3,5,5,5,6,5,5,5,2
rfnh84gq81cvrlu3bnwwf18rgmfux1n2,ChatGPT-3,Prepared Food,2023-03-28 12:55:30.952682+00:00,3,5,5,4,6,5,5,5,1
0j5ac1w3jqs3n4d88fxghkr996puxnzf,Student,Locker checks,2023-03-28 12:55:32.841503+00:00,2,5,5,5,5,5,5,5,2
3ekw2nmnlpi8xlds6evadnvk99e4tznt,Student,Government And Education,2023-03-28 12:55:34.745316+00:00,5,2,2,2,3,1,2,3,3
6ganr5vnayf3earis2qokj91nfkjprl1,ChatGPT-3,Prepared Food,2023-03-28 12:55:36.020747+00:00,4,6,6,6,6,5,5,5,3
9uk952ds930jytbio28ptj8c3t7qfd0y,ChatGPT-4,Effects of mobile phones,2023-03-28 12:55:38.107560+00:00,2,1,2,3,5,2,2,0,0
4uoh2nx86fnqgnkejetsvff15ade7r4p,ChatGPT-3,Giving aid to poorer countries has more negative effects than positive effect,2023-03-28 12:55:39.206867+00:00,1,3,4,4,3,3,3,3,0
5kswaykptc8x72fo2st04imj7ubd88u5,ChatGPT-3,Alternative forms of transport to alleviate traffic congestion,2023-03-28 12:55:40.436984+00:00,3,5,5,5,6,3,5,4,3
7dp5uc83ssih07i9zrammmdz6yxrm578,Student,Young people should go to university or not,2023-03-28 12:55:40.555881+00:00,2,4,4,5,5,6,5,5,3
spi4fc3xqc8vlgepupj60e80z5ja0jql,Student,Should rich countries help poor countries?,2023-03-28 12:55:42.552507+00:00,4,4,4,3,1,2,3,2,2
ruffupr6v7c4hcyndfmfklht33nr6r1y,ChatGPT-3,Influence Of Large Factory,2023-03-28 12:55:47.864904+00:00,5,5,5,4,6,5,5,5,4
wwmqz42o3int4rtr1s5ea0oycp6kerm5,ChatGPT-4,Advertisements affects on consumer goods,2023-03-28 12:55:51.462523+00:00,2,4,4,3,6,3,3,3,3
ys5a2dcpibtimnjqyrf7k4xuggcr9a0n,ChatGPT-3,Effects of mobile phones,2023-03-28 12:55:52.075023+00:00,4,5,4,4,5,5,5,5,3
a460q5wc7leq8556iqzmjpy26gunhcno,Student,Prepared Food,2023-03-28 12:55:53.491484+00:00,2,2,2,2,2,2,3,2,0
q6pbiymk6hbriv1i7otts03k8x05w5x5,ChatGPT-3,Locker checks,2023-03-28 12:55:54.030031+00:00,1,1,3,3,4,3,3,3,1
uatb851hhhj4nslj3ocd8yo240wnqgu5,ChatGPT-4,Should rich countries help poor countries?,2023-03-28 12:55:54.814319+00:00,2,4,4,3,4,3,3,3,1
27cy61crue3numwu12qb1yjahlgx4dfo,Student,Email and text messaging threats written language,2023-03-28 12:55:56.569178+00:00,1,3,3,3,3,3,3,3,0
goy6fcxoim5ydlkiarbswih1qcqqca18,ChatGPT-3,The Non-Issue of Same Sex Marriage,2023-03-28 12:55:56.687221+00:00,2,5,5,5,6,5,5,5,2
0ynzvwvxifu3enwwv5vog2rc8via3sb4,Student,Will newspapers become a thing of the past?,2023-03-28 12:55:58.276326+00:00,2,6,5,4,6,5,6,5,1
6b4i3beeyzk6hq0hyl57kf0nqd7jc41j,Student,computer has negative effects to children,2023-03-28 12:56:05.728200+00:00,4,3,2,3,2,2,3,2,3
4pk3owfwo13gmb1w2lq7wadkc9sjzb18,Student,Computer replace  man power in jobs,2023-03-28 12:56:08.163003+00:00,5,3,4,3,5,4,4,5,3
3kl7nnbqdpldx8sgoep4elq7dn8hlv38,Student,Influence Of Large Factory,2023-03-28 12:56:09.343733+00:00,5,3,3,3,3,4,2,3,4
wx1ftoab40fv73rki7wvap3lfiryf598,ChatGPT-4,Prepared Food,2023-03-28 12:56:12.305342+00:00,5,6,6,6,6,6,6,6,4
yhhasgbui0x5dneax62an6p0y769nhca,Student,Financial Aid To Developing Countries,2023-03-28 12:56:12.976783+00:00,0,4,4,4,4,4,4,3,0
ppafqznb6xi3jwzmu94xtukc119jstbz,ChatGPT-4,Influence Of Large Factory,2023-03-28 12:56:13.506158+00:00,3,5,5,5,6,5,5,5,3
708dg1iqj3nk0wmc22tmdgx9ldvsx3ox,ChatGPT-3,Effects of mobile phones,2023-03-28 12:56:13.868861+00:00,1,5,5,5,6,4,4,4,1
otoqe4kenlwd1n79qw5t6u98a78fd2wo,Student,Prepared Food,2023-03-28 12:56:15.558964+00:00,3,3,1,2,3,2,3,3,2
cn6ctjjzh8gzgi7fufcgkaxz066dudu3,Student,Study at school or get a job?,2023-03-28 12:56:18.996546+00:00,3,4,4,4,4,4,3,4,2
2qpxkgwgxmlymjo937jx65f3dzqzisx6,Student,Locker checks,2023-03-28 12:56:19.033922+00:00,2,4,3,3,6,6,6,6,2
x90j0mb3p2e7nqay9plsgzge4hjjnm6g,ChatGPT-3,Advertisements affects on consumer goods,2023-03-28 12:56:19.711559+00:00,0,3,4,4,3,4,4,4,0
as43e4efz9lqo3l3lncscyq1p9smbcxf,ChatGPT-4,Gun control,2023-03-28 12:56:21.460457+00:00,4,6,6,6,6,6,6,6,4
8276wlcpcdeplfxo6gwqscnzc4zr8zun,Student,Do married women usually work? Why and why not?,2023-03-28 12:56:22.170933+00:00,3,1,3,3,4,3,3,3,1
tv2gkmaekp405mvx55d3rsxj9fzocyn8,ChatGPT-3,Alternative forms of transport to alleviate traffic congestion,2023-03-28 12:56:22.509521+00:00,5,4,4,4,6,3,4,4,3
y1bzg8y45d9xkjk1stvizcclagbp9ah6,Student,Alternative forms of transport to alleviate traffic congestion,2023-03-28 12:56:23.624552+00:00,2,5,5,4,6,6,5,5,1
b5641jbn13rh3k093necyaddm2cxwhoc,ChatGPT-4,computer has negative effects to children,2023-03-28 12:56:24.706214+00:00,3,4,4,4,4,6,5,4,2
c65f6wf1av4g3nkfzj11vbs3j4ut7e5p,ChatGPT-3,Lessons with teachers versus others sources,2023-03-28 12:56:26.365349+00:00,4,5,5,4,6,5,5,6,3
gu2mqy8u00yps3emmb12kbau21v0mqy0,ChatGPT-4,effects of globalization (decrease in global tension),2023-03-28 12:56:27.792704+00:00,5,5,5,5,6,5,5,5,4
ige0otcvhf6bn2o0w7mj4q1pb5u4r7ym,Student,Effects of mobile phones,2023-03-28 12:56:32.210815+00:00,1,5,3,2,2,2,2,3,1
flhpvtppxp5oyqksisq22okdbo74cka0,Student,Young people should go to university or not,2023-03-28 12:56:35.961256+00:00,1,3,4,2,4,5,4,4,0
9uk952ds930jytbio28ptj8c3t7qfd0y,Student,technology that widen the gap between rich and poor?,2023-03-28 12:56:36.652818+00:00,2,4,4,4,4,4,3,3,0
fotpixguym6bxcv3wcjf4rjwcvbtrrb2,ChatGPT-4,Government And Education,2023-03-28 12:56:38.451584+00:00,1,4,4,4,5,4,4,4,2
6z2czq2ox46ouw2hdygosn0svlyq2l9l,ChatGPT-3,Will newspapers become a thing of the past?,2023-03-28 12:56:39.272192+00:00,1,5,4,4,6,6,5,5,2
6vszxf66bcd0elzhfr99j3rio2nf3jyp,ChatGPT-3,Financial Aid To Developing Countries,2023-03-28 12:56:39.917114+00:00,4,5,5,4,6,5,5,6,4
gzefi1rs5qm7904owyzotxhxc3ny9goh,ChatGPT-3,More people are migrating to other countries than ever before,2023-03-28 12:56:40.277729+00:00,4,2,3,2,6,4,5,5,3
yifwrgjzvf47cgclce78a6s9vwttz03s,Student,effects of globalization (decrease in global tension),2023-03-28 12:56:45.165393+00:00,2,2,2,1,4,2,2,3,0
xs3bvqru1ijm1a6rkls6k9soebp4t9j6,Student,Financial Aid To Developing Countries,2023-03-28 12:56:46.141627+00:00,1,5,5,5,5,4,4,5,1
ltvxxgg19tw3faj7z0k6mkvq8g9jwegx,ChatGPT-3,computer has negative effects to children,2023-03-28 12:56:49.945592+00:00,5,5,5,5,6,5,5,6,3
5kswaykptc8x72fo2st04imj7ubd88u5,ChatGPT-4,technology that widen the gap between rich and poor?,2023-03-28 12:56:50.118224+00:00,3,6,5,6,6,5,6,5,3
8y24o71xlukzq85g17n6ckhh09qf69pm,ChatGPT-4,Do married women usually work? Why and why not?,2023-03-28 12:56:50.513176+00:00,3,4,4,3,6,4,4,5,1
l8hb42vkvf2qs5c2q38qee4yk4vz34g6,Student,Gun control,2023-03-28 12:56:53.082258+00:00,4,3,4,3,3,2,3,3,3
l3e1dw5u4qyqqxikbnx4ojfwzz8zx20i,ChatGPT-3,Using animals for the benefit of the human beings,2023-03-28 12:56:53.538144+00:00,5,6,5,5,6,6,5,6,2
0srbxg98ookztl91uhlt1s9rgtbw53s4,ChatGPT-3,Society should ban all forms of the advertising,2023-03-28 12:56:58.600239+00:00,2,5,5,5,6,5,5,6,2
7o3t5f9mlhabs633ahy199a6jskwrmf0,ChatGPT-4,Government And Education,2023-03-28 12:56:59.407704+00:00,1,5,5,4,6,5,5,5,1
4uoh2nx86fnqgnkejetsvff15ade7r4p,ChatGPT-4,technology that widen the gap between rich and poor?,2023-03-28 12:57:00.574374+00:00,1,5,5,5,5,4,5,5,0
ccq6yh0sv33g0hhab3fqtcunap9lxrz1,Student,Do married women usually work? Why and why not?,2023-03-28 12:57:05.453902+00:00,2,4,4,3,4,3,4,4,1
69tf3g7u3j0ifyx5861asy2361cjr8gf,Student,Study at school or get a job?,2023-03-28 12:57:05.573877+00:00,2,5,4,4,4,4,4,4,3
9e29g8fljpiaqqzio6jvwh2p62k960km,ChatGPT-4,Email and text messaging threats written language,2023-03-28 12:57:05.786173+00:00,2,4,4,3,5,4,4,4,3
